month,is_ilani
2014-01,44
2014-02,46
2014-03,39
2014-04,39
2014-05,42
2014-06,42
2014-07,43
2014-08,51
2014-09,53
2014-10,48
2014-11,47
2014-12,49
2015-01,50
2015-02,53
2015-03,50
2015-04,49
2015-05,46
2015-06,56
2015-07,58
2015-08,63
2015-09,60
2015-10,64
2015-11,56
2015-12,51
2016-01,55
2016-02,59
2016-03,59
2016-04,54
2016-05,55
2016-06,66
2016-07,71
2016-08,76
2016-09,73
2016-10,79
2016-11,72
2016-12,65
2017-01,69
2017-02,70
2017-03,64
2017-04,56
2017-05,59
2017-06,66
2017-07,77
2017-08,64
2017-09,73
2017-10,68
2017-11,59
2017-12,55
2018-01,62
2018-02,63
2018-03,56
2018-04,54
2018-05,56
2018-06,66
2018-07,77
2018-08,61
2018-09,82
2018-10,84
2018-11,74
2018-12,79
2019-01,91
2019-02,88
2019-03,74
2019-04,71
2019-05,77
2019-06,86
2019-07,89
2019-08,80
2019-09,100
2019-10,90
2019-11,80
2019-12,83
2020-01,81
2020-02,72
2020-03,52
2020-04,29
2020-05,45
2020-06,69
2020-07,73
2020-08,84
2020-09,62
2020-10,57
2020-11,52
