Date,karantina
2/11/2020,6
2/12/2020,6
2/13/2020,6
2/14/2020,8
2/15/2020,6
2/16/2020,6
2/17/2020,5
2/18/2020,5
2/19/2020,6
2/20/2020,7
2/21/2020,6
2/22/2020,12
2/23/2020,11
2/24/2020,9
2/25/2020,23
2/26/2020,29
2/27/2020,19
2/28/2020,13
2/29/2020,10
3/1/2020,12
3/2/2020,8
3/3/2020,10
3/4/2020,12
3/5/2020,21
3/6/2020,12
3/7/2020,9
3/8/2020,11
3/9/2020,10
3/10/2020,18
3/11/2020,38
3/12/2020,37
3/13/2020,42
3/14/2020,33
3/15/2020,55
3/16/2020,70
3/17/2020,63
3/18/2020,70
3/19/2020,59
3/20/2020,58
3/21/2020,50
3/22/2020,55
3/23/2020,43
3/24/2020,39
3/25/2020,39
3/26/2020,40
3/27/2020,100
3/28/2020,90
3/29/2020,85
3/30/2020,95
3/31/2020,66
4/1/2020,60
4/2/2020,56
4/3/2020,57
4/4/2020,59
4/5/2020,47
4/6/2020,45
4/7/2020,36
4/8/2020,47
4/9/2020,49
4/10/2020,48
4/11/2020,40
4/12/2020,38
4/13/2020,33
4/14/2020,31
4/15/2020,34
4/16/2020,33
4/17/2020,33
4/18/2020,29
4/19/2020,37
4/20/2020,32
4/21/2020,23
4/22/2020,23
4/23/2020,20
4/24/2020,19
4/25/2020,21
4/26/2020,23
4/27/2020,21
4/28/2020,21
4/29/2020,15
4/30/2020,19
5/1/2020,16
5/2/2020,27
5/3/2020,33
5/4/2020,23
5/5/2020,18
5/6/2020,21
5/7/2020,16
5/8/2020,15
5/9/2020,18
5/10/2020,17
5/11/2020,20
5/12/2020,21
5/13/2020,17
5/14/2020,21
5/15/2020,28
5/16/2020,24
5/17/2020,20
5/18/2020,22
5/19/2020,17
5/20/2020,22
5/21/2020,15
5/22/2020,19
5/23/2020,17
5/24/2020,19
5/25/2020,25
5/26/2020,28
5/27/2020,22
5/28/2020,24
5/29/2020,17
5/30/2020,17
5/31/2020,18
6/1/2020,17
6/2/2020,16
6/3/2020,16
6/4/2020,21
6/5/2020,21
6/6/2020,14
6/7/2020,15
6/8/2020,15
6/9/2020,14
6/10/2020,16
6/11/2020,17
6/12/2020,17
6/13/2020,15
6/14/2020,16
6/15/2020,16
6/16/2020,15
6/17/2020,19
6/18/2020,17
6/19/2020,15
6/20/2020,16
6/21/2020,13
6/22/2020,11
6/23/2020,14
6/24/2020,19
6/25/2020,17
6/26/2020,13
6/27/2020,10
6/28/2020,15
6/29/2020,11
6/30/2020,11
7/1/2020,13
7/2/2020,11
7/3/2020,13
7/4/2020,11
7/5/2020,9
7/6/2020,8
7/7/2020,12
7/8/2020,12
7/9/2020,12
7/10/2020,10
7/11/2020,11
7/12/2020,10
7/13/2020,11
7/14/2020,13
7/15/2020,12
7/16/2020,9
7/17/2020,14
7/18/2020,12
7/19/2020,10
7/20/2020,9
7/21/2020,9
7/22/2020,10
7/23/2020,10
7/24/2020,12
7/25/2020,12
7/26/2020,12
7/27/2020,11
7/28/2020,10
7/29/2020,12
7/30/2020,9
7/31/2020,13
8/1/2020,13
8/2/2020,11
8/3/2020,13
8/4/2020,13
8/5/2020,15
8/6/2020,16
8/7/2020,28
8/8/2020,15
8/9/2020,12
8/10/2020,14
8/11/2020,10
8/12/2020,11
8/13/2020,12
8/14/2020,11
8/15/2020,15
8/16/2020,13
8/17/2020,14
8/18/2020,13
8/19/2020,13
8/20/2020,13
8/21/2020,10
8/22/2020,14
8/23/2020,13
8/24/2020,12
8/25/2020,14
8/26/2020,11
8/27/2020,11
8/28/2020,15
8/29/2020,13
8/30/2020,14
8/31/2020,15
9/1/2020,13
9/2/2020,15
9/3/2020,14
9/4/2020,12
9/5/2020,14
9/6/2020,26
9/7/2020,20
9/8/2020,14
9/9/2020,15
9/10/2020,16
9/11/2020,15
9/12/2020,17
9/13/2020,17
9/14/2020,18
9/15/2020,15
9/16/2020,14
9/17/2020,14
9/18/2020,14
9/19/2020,16
9/20/2020,16
9/21/2020,13
9/22/2020,13
9/23/2020,11
9/24/2020,11
9/25/2020,8
9/26/2020,11
9/27/2020,12
9/28/2020,10
9/29/2020,11
9/30/2020,10
10/1/2020,14
10/2/2020,11
10/3/2020,10
10/4/2020,12
10/5/2020,10
10/6/2020,9
10/7/2020,8
10/8/2020,8
10/9/2020,8
10/10/2020,11
10/11/2020,8
10/12/2020,9
10/13/2020,10
10/14/2020,10
10/15/2020,10
10/16/2020,10
10/17/2020,10
10/18/2020,11
10/19/2020,12
10/20/2020,10
10/21/2020,11
10/22/2020,12
10/23/2020,16
10/24/2020,12
10/25/2020,13
10/26/2020,11
10/27/2020,13
10/28/2020,13
