Date,TP TUUFEY01,TP FG TS01
2008-01,,146.94
2008-02,,148.84
2008-03,,150.27
2008-04,,152.79
2008-05,,155.07
2008-06,,154.51
2008-07,,155.40
2008-08,,155.02
2008-09,,155.72
2008-10,,159.77
2008-11,,161.10
2008-12,,160.44
2009-01,,160.90
2009-02,,160.35
2009-03,,162.12
2009-04,,162.15
2009-05,,163.19
2009-06,,163.37
2009-07,,163.78
2009-08,,163.29
2009-09,,163.93
2009-10,,167.88
2009-11,,170.01
2009-12,,170.91
2010-01,,174.07
2010-02,,176.59
2010-03,,177.62
2010-04,,178.68
2010-05,,178.04
2010-06,,177.04
2010-07,,176.19
2010-08,,176.90
2010-09,,179.07
2010-10,,182.35
2010-11,,182.40
2010-12,,181.85
2011-01,,182.60
2011-02,,183.93
2011-03,,184.70
2011-04,,186.30
2011-05,,190.81
2011-06,,188.08
2011-07,,187.31
2011-08,,188.67
2011-09,,190.09
2011-10,,196.31
2011-11,,199.70
2011-12,,200.85
2012-01,,201.98
2012-02,,203.12
2012-03,,203.96
2012-04,,207.05
2012-05,,206.61
2012-06,,204.76
2012-07,,204.29
2012-08,,205.43
2012-09,,207.55
2012-10,,211.62
2012-11,,212.42
2012-12,,213.23
2013-01,,216.74
2013-02,,217.39
2013-03,,218.83
2013-04,,219.75
2013-05,,220.07
2013-06,,221.75
2013-07,,222.44
2013-08,,222.21
2013-09,,223.91
2013-10,,227.94
2013-11,,227.96
2013-12,,229.01
2014-01,,233.54
2014-02,,234.54
2014-03,,237.18
2014-04,,240.37
2014-05,,241.32
2014-06,,242.07
2014-07,,243.17
2014-08,,243.40
2014-09,,243.74
2014-10,,248.37
2014-11,,248.82
2014-12,,247.72
2015-01,,250.45
2015-02,,252.24
2015-03,,255.23
2015-04,,259.39
2015-05,,260.85
2015-06,,259.51
2015-07,,259.74
2015-08,,260.78
2015-09,,263.11
2015-10,,267.20
2015-11,,268.98
2015-12,,269.54
2016-01,106.97,274.44
2016-02,106.03,274.38
2016-03,102.68,274.27
2016-04,99.80,276.42
2016-05,100.14,278.02
2016-06,102.51,279.33
2016-07,103.53,282.58
2016-08,101.96,281.76
2016-09,103.64,282.27
2016-10,102.30,286.33
2016-11,101.82,287.81
2016-12,105.11,292.54
2017-01,113.42,299.74
2017-02,115.14,302.17
2017-03,117.12,305.24
2017-04,116.71,309.23
2017-05,113.83,310.61
2017-06,113.40,309.78
2017-07,112.50,310.24
2017-08,111.08,311.85
2017-09,114.40,313.88
2017-10,115.47,320.40
2017-11,120.10,325.18
2017-12,122.42,327.41
2018-01,124.41,330.75
2018-02,125.48,333.17
2018-03,126.13,336.48
2018-04,124.17,342.78
2018-05,123.48,348.34
2018-06,123.57,357.44
2018-07,125.69,359.41
2018-08,128.09,367.66
2018-09,132.80,390.84
2018-10,133.98,401.27
2018-11,137.36,395.48
2018-12,141.87,393.88
2019-01,153.64,398.07
2019-02,157.84,398.71
2019-03,160.60,402.81
2019-04,162.35,409.63
2019-05,160.80,413.52
2019-06,156.02,413.63
2019-07,154.38,419.24
2019-08,153.30,422.84
2019-09,155.73,427.04
2019-10,158.38,435.59
2019-11,161.16,437.25
2019-12,164.67,440.50
,,
,,
Series Descriptions,,
TP.TUUFEY01,"Agriculture, Forestry and Fishing-Level",Observation: Original Observation
TP.FG.TS01,TURKEY-Level,Observation: Original Observation
,,
Notes,,
TP.FG.TS01,Methodological Changes,http://www.turkstat.gov.tr/PreTablo.do?alt_id=114
,Datasource,TURKSTAT
,Data Release Calendar,http://www.tuik.gov.tr/takvim/tkvim.zul#tb1
,Metadata Link,http://www.turkstat.gov.tr/PreTablo.do?alt_id=114
,Revision Politicy,http://www.turkstat.gov.tr/PreTablo.do?alt_id=114
,Tags,"Consumer, Price, Index, CPI,"
TP.TUUFEY01,Methodological Changes,http://www.turkstat.gov.tr/PreTablo.do?alt_id=111
,Datasource,TURKSTAT
,Data Release Calendar,http://www.tuik.gov.tr/takvim/tkvim.zul#tb1
,Metadata Link,http://www.turkstat.gov.tr/PreTablo.do?alt_id=111
,Revision Politicy,http://www.turkstat.gov.tr/PreTablo.do?alt_id=111
,Tags,"Producer, Price, Index, of, Agriculture, Products, PPI"
