Date,CPI-perc-change,
2012-01,10.61,
2012-02,10.43,
2012-03,10.43,
2012-04,11.14,
2012-05,8.28,
2012-06,8.87,
2012-07,9.07,
2012-08,8.88,
2012-09,9.19,
2012-10,7.80,
2012-11,6.37,
2012-12,6.16,
2013-01,7.31,
2013-02,7.03,
2013-03,7.29,
2013-04,6.13,
2013-05,6.51,
2013-06,8.30,
2013-07,8.88,
2013-08,8.17,
2013-09,7.88,
2013-10,7.71,
2013-11,7.32,
2013-12,7.40,
2014-01,7.75,
2014-02,7.89,
2014-03,8.39,
2014-04,9.38,
2014-05,9.66,
2014-06,9.16,
2014-07,9.32,
2014-08,9.54,
2014-09,8.86,
2014-10,8.96,
2014-11,9.15,
2014-12,8.17,
2015-01,7.24,
2015-02,7.55,
2015-03,7.61,
2015-04,7.91,
2015-05,8.09,
2015-06,7.20,
2015-07,6.81,
2015-08,7.14,
2015-09,7.95,
2015-10,7.58,
2015-11,8.10,
2015-12,8.81,
2016-01,9.58,
2016-02,8.78,
2016-03,7.46,
2016-04,6.57,
2016-05,6.58,
2016-06,7.64,
2016-07,8.79,
2016-08,8.05,
2016-09,7.28,
2016-10,7.16,
2016-11,7.00,
2016-12,8.53,
2017-01,9.22,
2017-02,10.13,
2017-03,11.29,
2017-04,11.87,
2017-05,11.72,
2017-06,10.90,
2017-07,9.79,
2017-08,10.68,
2017-09,11.20,
2017-10,11.90,
2017-11,12.98,
2017-12,11.92,
2018-01,10.35,
2018-02,10.26,
2018-03,10.23,
2018-04,10.85,
2018-05,12.15,
2018-06,15.39,
2018-07,15.85,
2018-08,17.90,
2018-09,24.52,
2018-10,25.24,
2018-11,21.62,
2018-12,20.30,
2019-01,20.35,
2019-02,19.67,
2019-03,19.71,
2019-04,19.50,
2019-05,18.71,
2019-06,15.72,
2019-07,16.65,
2019-08,15.01,
2019-09,9.26,
2019-10,8.55,
2019-11,10.56,
2019-12,11.84,
,,
,,
Series Descriptions,,
TP.FG.J0_3,0.GENERAL-Yearly Percentage Change,Observation: Original Observation
,,
Notes,,
TP.FG.J0,Methodological Changes,http://www.turkstat.gov.tr/PreTablo.do?alt_id=114
,Datasource,TURKSTAT
,Data Release Calendar,http://www.tuik.gov.tr/takvim/tkvim.zul#tb1
,Metadata Link,http://www.turkstat.gov.tr/PreTablo.do?alt_id=114
,Revision Politicy,http://www.turkstat.gov.tr/PreTablo.do?alt_id=114
,Tags,"Consumer, Price, Index, CPI,"
